test_case,resource_id,resource_title,resource_description,resource_type,resource_source,resource_category,resource_topics,resource_recommend_if,resource_state,resource_organization,resource_default_navigator_note,similarity_score
Find a family therapist,,Is your PLOP a Flop?,Brief blog post about formal establishment of a student's baseline performance and how it relates to subsequent IEP progress monitoring.,Article,,School Supports,,,,,,0.1619
Find a family therapist,,Maine Department of Education,"Homepage to Maine DOE with resources for Maine students, event calendars, and news articles. ",Website,,School Supports,,,,,,0.1458
Find a parent support group,,Support Group for Parents with Children with Complex Healthcare Needs,A group for parents to hear and be understood regarding the challenges they face caring for their children with complex health conditions.,Program,,Self-care,,,,,,0.6028
Find a parent support group,,Autism Society of Maine - Groups,"A directory of youth, adult, and caregiver support groups offered through the Autism Society of Maine",Program,,Self-care,,,,,,0.5311
Find a parent support group,,PEERS - Program for the Education and Enrichment of Relational Skills,"[This is a fee-based service] Online, evidence-based therapist-facilitated group sessions to help teens, young adults, and adults learn social skills to help them develop healthy friendships, dating strategies, and improved confidence and success with other interpersonal interactions. Focus is on social growth, not ""masking.""",Program,,Treatment,,,,,,0.4435
Find a parent support group,,"Jess Adam, LMHC, LMFT, RYT",Marriage & Family Therapist,Program,,Treatment,,,,,,0.4291
Find a parent support group,,Finding You Therapy Programs,"Individual, Couples, and Family Therapy and coaching directed by Dr. Brad Reedy, PhD, a nationally-renowned  psychologist, author, and veteran in the parent-child dynamic involved with youth mental health challenges. Utah-based, in-person and remote services available",Program,,Treatment,,,,,,0.4258
Find a parent support group,,How to find a provider toolkit,"A toolkit PDF created by NAMI Maine that describes the different types of providers, questions to ask providers, and where to get started",Document,,Treatment,,,,,,0.4246
Find a parent support group,,Hearty Roots,Adventure-based youth programming that fosters social-emotional development and healthy relationships with self and others.,Organization,,Social Services,,,,,,0.4243
Find a parent support group,,Attachment & Attuned Parenting,"2-hr. digital seminar to:
- Characterize the three types of non-secure attachment and describe how they manifest in parenting styles that limit parent/child connection.
- Categorize how caregiver presence and attuned parenting fosters resilience in children.
- Assess the four “S’s” of attachment and relate their significance to clinicians and educators.",Video,,Parenting,,,,,,0.4013
Find a parent support group,,CHADD (Children & Adults with Attention Deficit/Hyperactivity Disorder),Association dedicated to advocacy and assistance for people with ADHD,Website,,Neurodiversity,,,,,,0.3903
Find a parent support group,,"How to Use a ""Parent IEP Attachment""","A useful tactic for recording parent IEP requests, the school's response, and outcomes. ",Article,,School Supports,,,,,,0.3776
Find a parent support group,,Maine Parent Federation,"Organization sponsored by the federal Department of Education Office of Special Education Services to provide information and resources to parents of children with disabilities recognized under the Individuals with Disabilities Education Act (i.e., IDEA) and/or the Rehabilitation Act Section 504. Specializing in disabilities commonly recognized as qualifying for special education or '504 Plan' Accommodations and other state services.",Organization,,Social Services,,,,,,0.3757
Find a parent support group,,PsychologyToday,One of the most comprehensive directories of mental health therapists. You can filter for therapists in your location that accept your insurance and specialize in the your needs or your child's needs.,Website,,Treatment,,,,,,0.3744
Find a parent support group,,5 Reasons Parents Play a Key Role in the IEP Process,A quick and reassuring read about why parents belong in the room with at least equal standing at IEP meetings. ,Article,,School Supports,,,,,,0.3732
Find a parent support group,,Healthy Lincoln County,"Nonprofit organization serving Lincoln County with a mission to build healthy, thriving communities. They offer Substance Use Prevention services, nutrition education, and meals programs.",Organization,,Social Services,,,,,,0.3723
Find a parent support group,,Penquis Community Action Program,"Nonprofit organization serving Penobscot, Piscataquis, and Knox Counties with a mission to prevent, reduce, or eliminate poverty. Offering programs and initiatives that serve this mission by helping individuals and families with basic needs such as child care, parent coaching, and resource-finding for healthcare, disability care, ageing, and social services.",Organization,,Social Services,,,,,,0.3649
Find a parent support group,,"8 Steps to Better IEP Meetings: Play Hearts, Not Poker",Tactical guide for parents participating in the IEP process.,Article,,School Supports,,,,,,0.3635
Find a parent support group,,ADDitude Magazine,A popular periodical with helpful articles and tips for parenting children with ADHD and living with ADHD as an adult,Website,,Neurodiversity,,,,,,0.3627
Find a parent support group,,Healthy Oxford Hills,Nonprofit community organization serving Oxford County with a mission to improve the quality of life for county residents.,Organization,,Social Services,,,,,,0.3622
Find a parent support group,,Raising Arizona Kids,Directory of schools designed specifically for children with different types of special needs,Website,,School Supports,,,,,,0.3504
Find a parent support group,,How to Handle Disagreements at IEP Meetings (or Playing 20 Questions with the Devil),"Tactics for making parent requests, assessing progress, and making adjustments in the IEP process.",Article,,School Supports,,,,,,0.3484
Find a parent support group,,Cornerstones of Maine,"Young adult residential, transitional living, and aftercare programs with residences in Biddeford, Kennebunkport, and Portland",Program,,Transitions,,,,,,0.3402
Find a parent support group,,Office of Special Education Programs,"Programs improving results for infants, toddlers, children and youth with disabilities ages birth through 21 by providing leadership and financial support to assist states and local districts.",Website,,School Supports,,,,,,0.3399
Find a parent support group,,Is Your Child Making Progress in Special Ed?,A brief article about progress monitoring and requesting adjustments when needed.,Article,,School Supports,,,,,,0.3393
Find a parent support group,,Shine Advocacy,Collective of educational advocates serving families in AZ,Organization,,School Supports,,,,,,0.336
Find a parent support group,,Knox Clinic | Mental Health Services,"In-person and virtual counseling, short-term behavioral health support, and health management sessions in Rockland, ME.",Program,,Treatment,,,,,,0.335
Find a parent support group,,Goblin Tools,"Website with handy tools and tips for helping with executive function and social challenges. Good for breaking down tasks, refining conversational and text tone, more",Tool,,Neurodiversity,,,,,,0.3349
Find a parent support group,,Amble Therapy,"Mental health counseling for teen and young adult Mainers seeking relief from anxiety, trauma, and burnout. Services include (but don't have to be) ""Walk & Talk"" therapy, where therapeutic modalities are incorporated while you enjoy and connect to the outdoors. Based in Portland, ME. In-person and remote offerings",Program,,Treatment,,,,,,0.3318
Find a parent support group,,MaineHealth Behavioral Health,"Locations of MaineHealth's behavioral health services, where you can find access to mental health care and other behavioral health services.",Program,,Treatment,,,,,,0.3285
Find a parent support group,,"Doing Your Homework: Your Child's IEP, Your State's Standards and Progress in the General Education Curriculum",What parents should know and lean on when assessing their child's baseline performance and IEP progress goals.,Article,,School Supports,,,,,,0.3261
Find a parent support group,,IDEA ,Directory of IDEA (Individuals with Disabilities Education Act) topics.,Website,,School Supports,,,,,,0.3236
Find a parent support group,,Training: Maine DHHS & DOE School-Based Services Guidance,Approximately 1-hr video on School-Based special education services with Q&A featuring leaders from MaineCare and the Maine Department of Education.,Video,,School Supports,,,,,,0.3221
Find a parent support group,,Brighter Heights Maine | Behavioral Health,"Outpatient therapy, Case Management, Daily Living Skills, Medication Management, and Substance Use Counseling in Maine for children and adults. They accept MaineCare and self-pay only. Locations in Rockland, Yarmouth, Bangor, and Belfast.",Program,,Treatment,,,,,,0.3186
Find a parent support group,,Office of Special Education and Rehabilitative Services ,"Programs and resources to improve early childhood, educational, and employment outcomes and raise expectations for all people with disabilities, their families, their communities, and the nation.",Website,,School Supports,,,,,,0.3179
Find a parent support group,,Special Education & Advocacy,Up-to-date information about special education law and advocacy for children with disabilities.,Website,,School Supports,,,,,,0.3156
Find a parent support group,,Apraxia Kids,"An organization dedicated to helping children and families cope with childhood apraxia of speech, a condition where the child generally understands language and knows what they want to say, but has trouble forming the words to verbalize it to others",Organization,,Social Services,,,,,,0.3113
Find a parent support group,,OPI Life Coaching ,Life coaching program for young adults who are stuck in unproductive thoughts and behaviors which interfere with their health and ability to be self-reliant.,Website,,Transitions,,,,,,0.3112
Find a parent support group,,Virtual Recovery Resources | SAMHSA,"A PDF list of virtual recovery programs and resources for a wide variety of challenges, including Alcohol Abuse, Marijuana Abuse, Mental Illness, and other.",Article,,Treatment,,,,,,0.3074
Find a parent support group,,What is a 504 Plan?,Helpful text description and 4-minute video about what a 504 plan is and how it is implemented to help your child learn at school.,Article,,School Supports,,,,,,0.3011
Find a parent support group,,"Dr. Alexis Wilbert, Psy.D.","Psychologist specializing in treating youth with eating disorders, anxiety, and perfectionism. Telehealth practice only. Private-pay, out-of-network provider.",Program,,Treatment,,,,,,0.2998
Find a parent support group,,Developmental Milestones,Learn more about milestones throughout child development from 2 months to 5 years provided by the CDC.,Website,,Neurodiversity,,,,,,0.2968
Find a parent support group,,Brighter Heights Maine | Residential Housing,Providing homes that support adults living with developmental disabilities and qualify for housing through MaineCare Section 21 waiver. Locations in Westbrook and Winthrop.,Program,,Social Services,,,,,,0.2959
Find a parent support group,,Ikigai Overview,"A framework for thinking about life's purpose, meaning, and your place in it",Article,,Transitions,,,,,,0.2937
Find a parent support group,,Kennebec Valley Community Action Program (KVCAP),"Nonprofit organization serving Kennebec, Lincoln, Sagadahoc, and Somerset Counties with a mission to prevent, reduce, or end poverty. Helps families find community-based services for living.",Organization,,Social Services,,,,,,0.2895
Find a parent support group,,"Adult Mental Health, Know When to get Help","Help understanding how mental health conditions are identified in adults - Patterns in thoughts, feelings and behaviors can suggest when to get help for yourself or someone you care about.",Article,,Mental Health,,,,,,0.289
Find a parent support group,,Education is Special ,A 55-minute video about the special education process and system in Maine,Video,,School Supports,,,,,,0.2882
Find a parent support group,,Northern Light Health Behavioral Health Services,"A directory of services, including therapy, groups, and other diagnostic and treatment options offered by Northern Light Health throughout Maine",Program,,Treatment,,,,,,0.2875
Find a parent support group,,Alcohol Use Disorder | Standard of Care,"An article describing the standard of care treatment for Alcohol Use Disorder, which includes recommended treatment for varying levels of severity of Alcohol Use Disorder.",Article,,Treatment,,,,,,0.2858
Find a parent support group,,Communication for a Lifetime,"The link provided takes you to the public-facing resources, including learning materials and provider directories, offered by the US's professional association of healthcare providers who serve people with speech, language, and hearing disorders. ",Website,,Neurodiversity,,,,,,0.2845
Find a parent support group,,Adult ADHD | Standards of Care,An article describing the standards of care for ADHD and includes the evidence-based treatment approaches that you should be considering for a young adult with ADHD,Article,,Treatment,,,,,,0.2845
Find a parent support group,,Due Process Case Outcomes,Hearings of alleged violations of the IDEA requirements with case decisions. ,Tool,,School Supports,,,,,,0.282
Find a parent support group,,Training: Transition to Kindergarten,A 45-minute video about what to expect and how to proactively parent when your child is undergoing one of their major developmental milestones - the transition from preschool years to kindergarten!,Video,,Transitions,,,,,,0.2736
Find a parent support group,,Insurance Requirements for Children with ASD,Current practice requirements and regulations state-by-state compilation of state insurance mandates. ,Website,,Insurance,,,,,,0.2727
Find a parent support group,,Special Education Laws & Regulations,Laws and regulations based upon individuals with disabilities related to education. ,Website,,School Supports,,,,,,0.2707
Find a parent support group,,Diagnostic and Statistical Manual of Mental Disorders (DSM-5-TR),"Resources and text about mental disorders (DSM-5-TR) with review of the impact of racism and discrimination on the diagnosis and manifestations of mental disorders. It helps define and classify mental disorders, which can improve diagnoses, treatment, and research.",Tool,,Mental Health,,,,,,0.2692
Find a parent support group,,Is your PLOP a Flop?,Brief blog post about formal establishment of a student's baseline performance and how it relates to subsequent IEP progress monitoring.,Article,,School Supports,,,,,,0.2688
Find a parent support group,,Overview of Neurodevelopmental Disorders,Neurodevelopmental disorders refers to a group of disorders that begin in childhood. They affect the development and function of the brain. They may impact a child's interactions or functioning at home or school or in the community.  This article defines what a neurodevelopmental disorder is and the different types.,Article,,Neurodiversity,,,,,,0.2681
Find a parent support group,,Maine Department of Education,"Homepage to Maine DOE with resources for Maine students, event calendars, and news articles. ",Website,,School Supports,,,,,,0.2634
Find a parent support group,,Training: Katie Beckett Waiver,Pre-recorded 33-minute video about the Katie Beckett Waiver and how to apply.,Video,,Insurance,,,,,,0.2535
Find a parent support group,,American Society of Addiction Medicine (ASAM) Care Levels,"Comprehensive set of standards for placement, continued service, and transfer of patients with addiction and co-occurring conditions.",Website,,Substance Abuse,,,,,,0.2478
Find a parent support group,,Rural Mental Health,Learning about the struggles and challenges of mental health in rural communities and frequently asked questions about mental health resources in these areas. ,Website,,Mental Health,,,,,,0.2438
Find a parent support group,,How to Ikigai | TedX,"A great speech by the author of ""How to Ikigai"" that provides a clear roadmap for finding your Ikigai in a motivational way",Video,,Transitions,,,,,,0.2373
Find a parent support group,,"MaineCare Enrollment, Katie Beckett Waiver Option",State website describing the Katie Beckett Waiver and eligibility with a practical 'roadmap' to follow for applying.,Website,,Insurance,,,,,,0.2262
Find a parent support group,,A Guide To Finding Insurance at 26‌,"Kaiser Family Foundation report on the health insurance ""cliff"" at age 26 and tips about shopping for an insurance plan based on the advice of policy experts.",Article,,Insurance,,,,,,0.225
Find a parent support group,,What is Neurodiversity? | Harvard Medical,"An article describing Neurodiversity, which describes the idea that people experience and interact with the world around them in many different ways; there is no one ""right"" way of thinking, learning, and behaving, and differences are not viewed as deficits.",Article,,Neurodiversity,,,,,,0.2165
Find a parent support group,,Healthy People 2030 Objectives & Data,Health objectives chosen based on national data to improve health and the well-being nationwide. ,Website,,Mental Health,,,,,,0.2144
Find a parent support group,,MaineCare Benefits Manual,Links to chapters for Maine medical assistance and services provided by the Department of Health and Human Services. ,Website,,Insurance,,,,,,0.206
Find a parent support group,,Video | What is Neurodiversity?,"A simple explainer video that describes Neurodiversity. People experience and interact with the world around them in many different ways; there is no one ""right"" way of thinking, learning, and behaving, and differences are not viewed as deficits.",Video,,Neurodiversity,,,,,,0.2058
Find a parent support group,,Rural Mental Health Care in the U.S. ,The history of rural mental health care in the U.S. from 2006-2022. Provides an overview of the field and an annotated bibliography. ,Article,,Mental Health,,,,,,0.1653
Get an IEP from school,,"How to Use a ""Parent IEP Attachment""","A useful tactic for recording parent IEP requests, the school's response, and outcomes. ",Article,,School Supports,,,,,,0.5981
Get an IEP from school,,How to Handle Disagreements at IEP Meetings (or Playing 20 Questions with the Devil),"Tactics for making parent requests, assessing progress, and making adjustments in the IEP process.",Article,,School Supports,,,,,,0.5797
Get an IEP from school,,"Doing Your Homework: Your Child's IEP, Your State's Standards and Progress in the General Education Curriculum",What parents should know and lean on when assessing their child's baseline performance and IEP progress goals.,Article,,School Supports,,,,,,0.5691
Get an IEP from school,,"8 Steps to Better IEP Meetings: Play Hearts, Not Poker",Tactical guide for parents participating in the IEP process.,Article,,School Supports,,,,,,0.5559
Get an IEP from school,,5 Reasons Parents Play a Key Role in the IEP Process,A quick and reassuring read about why parents belong in the room with at least equal standing at IEP meetings. ,Article,,School Supports,,,,,,0.5453
Get an IEP from school,,Is Your Child Making Progress in Special Ed?,A brief article about progress monitoring and requesting adjustments when needed.,Article,,School Supports,,,,,,0.5352
Get an IEP from school,,Due Process Case Outcomes,Hearings of alleged violations of the IDEA requirements with case decisions. ,Tool,,School Supports,,,,,,0.4656
Get an IEP from school,,Training: Maine DHHS & DOE School-Based Services Guidance,Approximately 1-hr video on School-Based special education services with Q&A featuring leaders from MaineCare and the Maine Department of Education.,Video,,School Supports,,,,,,0.4541
Get an IEP from school,,Education is Special ,A 55-minute video about the special education process and system in Maine,Video,,School Supports,,,,,,0.4514
Get an IEP from school,,IDEA ,Directory of IDEA (Individuals with Disabilities Education Act) topics.,Website,,School Supports,,,,,,0.4417
Get an IEP from school,,Maine Parent Federation,"Organization sponsored by the federal Department of Education Office of Special Education Services to provide information and resources to parents of children with disabilities recognized under the Individuals with Disabilities Education Act (i.e., IDEA) and/or the Rehabilitation Act Section 504. Specializing in disabilities commonly recognized as qualifying for special education or '504 Plan' Accommodations and other state services.",Organization,,Social Services,,,,,,0.4396
Get an IEP from school,,Is your PLOP a Flop?,Brief blog post about formal establishment of a student's baseline performance and how it relates to subsequent IEP progress monitoring.,Article,,School Supports,,,,,,0.4298
