test_case,resource_id,resource_title,resource_description,resource_type,resource_source,resource_category,resource_topics,resource_recommend_if,resource_state,resource_organization,resource_default_navigator_note,similarity_score
Find a family therapist,,Northern Light Health Behavioral Health Services,"A directory of services, including therapy, groups, and other diagnostic and treatment options offered by Northern Light Health throughout Maine",Program,https://northernlighthealth.org/BehavioralServices,Treatment,"{, "", m, e, n, t, a, l,  , h, e, a, l, t, h, "", ,, n, e, u, r, o, d, e, v, e, l, o, p, m, e, n, t, a, l, ,, "", b, e, h, a, v, i, o, r, a, l,  , h, e, a, l, t, h, "", ,, d, i, a, g, n, o, s, i, s, ,, t, r, e, a, t, m, e, n, t, ,, g, r, o, u, p, s, }",,Maine,Northern Light Health,"This is a directory of behavioral health services, including therapy, groups, and other diagnostic and treatment options offered by Northern Light Health throughout Maine",0.3363
Find a family therapist,,Raising Arizona Kids,Directory of schools designed specifically for children with different types of special needs,Website,https://www.raisingarizonakids.com/special-needs-schools-arizona/,School Supports,"{, N, e, u, r, o, d, i, v, e, r, s, i, t, y, ,, E, d, u, c, a, t, i, o, n, ,, I, E, P, ,, "", S, p, e, c, i, a, l,  , e, d, u, c, a, t, i, o, n, "", }",Arizona students with mental health and neurodevelopmental disorders need alternatives to the public school they are in,Arizona,"Raising Arizona Kids, Inc.",,0.318
Find a family therapist,,"Adult Mental Health, Know When to get Help","Help understanding how mental health conditions are identified in adults - Patterns in thoughts, feelings and behaviors can suggest when to get help for yourself or someone you care about.",Article,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/mental-health/art-20044098,Mental Health,"{, A, d, u, l, t, s, ,, S, e, l, f, -, D, i, s, c, o, v, e, r, y, }",Those who need help understanding how mental health conditions are identified in adults.,,Mayo Clinic,,0.312
Find a family therapist,,Adult ADHD | Standards of Care,An article describing the standards of care for ADHD and includes the evidence-based treatment approaches that you should be considering for a young adult with ADHD,Article,https://www.aafp.org/family-physician/patient-care/prevention-wellness/emotional-wellbeing/adhd-toolkit/treatment-and-management.html,Treatment,"{, A, D, H, D, ,, T, r, e, a, t, m, e, n, t, ,, "", Y, o, u, n, g,  , A, d, u, l, t, s, "", }",For parents with ADHD or who have young adults with ADHD who want to better informed about treatment options,,,,0.3117
Find a family therapist,,OPI Life Coaching ,Life coaching program for young adults who are stuck in unproductive thoughts and behaviors which interfere with their health and ability to be self-reliant.,Website,https://www.optimumperformanceinstitute.com/young-adult-treatment/independent-living-program/life-coaching/,Transitions,"{, "", Y, o, u, n, g,  , A, d, u, l, t, s, "", ,, C, a, r, e, e, r, ,, S, e, l, f, -, d, i, s, c, o, v, e, r, y, }","Young adults who are looking for career and life coaching, self-discovery help, and who might be resistant to traditional therapy.",,,,0.308
Find a family therapist,,ADDitude Magazine,A popular periodical with helpful articles and tips for parenting children with ADHD and living with ADHD as an adult,Website,https://www.additudemag.com/,Neurodiversity,"{, A, D, H, D, ,, I, E, P, ,, P, a, r, e, n, t, i, n, g, }",Parents are seeking help with raising a child with ADHD or have ADHD themselves,,ADDitude Magazine,,0.3055
Find a family therapist,,CHADD (Children & Adults with Attention Deficit/Hyperactivity Disorder),Association dedicated to advocacy and assistance for people with ADHD,Website,https://chadd.org/,Neurodiversity,"{, A, D, H, D, }",Parent has a child with ADHD or has ADHD themself,,CHADD,,0.3012
Find a family therapist,,Ikigai Overview,"A framework for thinking about life's purpose, meaning, and your place in it",Article,https://psychsafety.com/ikigai/,Transitions,"{, S, e, l, f, -, d, i, s, c, o, v, e, r, y, ,, "", Y, o, u, n, g,  , A, d, u, l, t, s, "", ,, T, r, a, n, s, i, t, i, o, n, s, }","For caregivers of young adult children who are struggling with career decisions, life decisions, or existential questions",,,,0.2971
Find a family therapist,,Goblin Tools,"Website with handy tools and tips for helping with executive function and social challenges. Good for breaking down tasks, refining conversational and text tone, more",Tool,https://goblin.tools/,Neurodiversity,"{, "", S, o, c, i, a, l,  , c, h, a, l, l, e, n, g, e, s, "", ,, A, D, H, D, ,, S, P, C, D, ,, P, D, A, ,, "", E, x, e, c, u, t, i, v, e,  , f, u, n, c, t, i, o, n, "", }",Parents have a child(ren) with executive function or social challenges,,Goblin Tools,,0.2965
Find a family therapist,,Diagnostic and Statistical Manual of Mental Disorders (DSM-5-TR),"Resources and text about mental disorders (DSM-5-TR) with review of the impact of racism and discrimination on the diagnosis and manifestations of mental disorders. It helps define and classify mental disorders, which can improve diagnoses, treatment, and research.",Tool,https://www.psychiatry.org/psychiatrists/practice/dsm,Mental Health,"{, D, i, s, o, r, d, e, r, s, ,, D, i, r, e, c, t, o, r, i, e, s, }",Parents who want to learn more about (DSM-5-TR).,,American Psychiatric Association ,,0.2915
Find a family therapist,,Communication for a Lifetime,"The link provided takes you to the public-facing resources, including learning materials and provider directories, offered by the US's professional association of healthcare providers who serve people with speech, language, and hearing disorders. ",Website,https://www.asha.org/public/,Neurodiversity,"{, "", c, o, m, m, u, n, i, c, a, t, i, o, n,  , d, i, s, o, r, d, e, r, "", ,, s, p, e, e, c, h, ,, h, e, a, r, i, n, g, }",,,American Speech-Language-Hearing Association (ASHA),"This is full of useful information about communication disorders, including hearing impairment, and has links to providers throughout the US. ",0.2891
Find a family therapist,,Cornerstones of Maine,"Young adult residential, transitional living, and aftercare programs with residences in Biddeford, Kennebunkport, and Portland",Program,https://cornerstonesofmaine.com/,Transitions,"{, }","Young adults are in need of 24/7 care, supervised living after residential care, or are struggling to ""launch"" ",,,,0.2878
Find a family therapist,,Healthy Oxford Hills,Nonprofit community organization serving Oxford County with a mission to improve the quality of life for county residents.,Organization,https://www.mainehealth.org/mainehealth-stephens-hospital/healthy-communities-mainehealth-stephens-hospital/healthy-oxford-hills-mainehealth-stephens-hospital,Social Services,"{, }",Parents have children in Maine's Oxford County and are looking for health and social services or support,,,,0.2791
Find a family therapist,,Apraxia Kids,"An organization dedicated to helping children and families cope with childhood apraxia of speech, a condition where the child generally understands language and knows what they want to say, but has trouble forming the words to verbalize it to others",Organization,https://www.apraxia-kids.org/,Social Services,"{, "", s, p, e, e, c, h,  , d, i, s, o, r, d, e, r, "", ,, "", c, o, m, m, u, n, i, c, a, t, i, o, n,  , d, i, s, o, r, d, e, r, "", }",,,Apraxia kids,"This site has information, resources, and parent groups for families with children diagnosed with childhood apraxia of speech.",0.2764
Find a family therapist,,Virtual Recovery Resources | SAMHSA,"A PDF list of virtual recovery programs and resources for a wide variety of challenges, including Alcohol Abuse, Marijuana Abuse, Mental Illness, and other.",Article,https://www.samhsa.gov/sites/default/files/virtual-recovery-resources.pdf,Treatment,"{, "", S, u, b, s, t, a, n, c, e,  , A, b, u, s, e, "", ,, R, e, c, o, v, e, r, y, ,, "", M, e, n, t, a, l,  , H, e, a, l, t, h, "", ,, "", V, i, r, t, u, a, l,  , P, r, o, g, r, a, m, s, "", }",For young adults struggling with substance abuse,,,,0.276
Find a family therapist,,Insurance Requirements for Children with ASD,Current practice requirements and regulations state-by-state compilation of state insurance mandates. ,Website,https://www.asha.org/advocacy/state/,Insurance,"{, S, e, l, f, -, E, d, u, c, a, t, i, o, n, ,, P, o, l, i, c, i, e, s, }",Parents want more information about insurance mandates for children with ASD.,Maine,American Speech-Language-Hearing Association ,,0.273
Find a family therapist,,How to Ikigai | TedX,"A great speech by the author of ""How to Ikigai"" that provides a clear roadmap for finding your Ikigai in a motivational way",Video,https://www.youtube.com/watch?v=pk-PcJS2QaU,Transitions,"{, S, e, l, f, -, d, i, s, c, o, v, e, r, y, ,, "", Y, o, u, n, g,  , A, d, u, l, t, s, "", ,, T, r, a, n, s, i, t, i, o, n, s, }","For caregivers of young adult children who are struggling with career decisions, life decisions, or existential questions",,,,0.2692
Find a family therapist,,"8 Steps to Better IEP Meetings: Play Hearts, Not Poker",Tactical guide for parents participating in the IEP process.,Article,https://www.wrightslaw.com/advoc/articles/iep.bollero.hearts.htm,School Supports,"{, I, E, P, ,, "", I, E, P,  , d, y, n, a, m, i, c, s, "", ,, p, a, r, e, n, t, i, n, g, ,, c, a, r, e, g, i, v, i, n, g, }",Parents are unsure of or not confident about the interpersonal dynamics of the IEP process.,,,,0.2662
Find a family therapist,,Office of Special Education and Rehabilitative Services ,"Programs and resources to improve early childhood, educational, and employment outcomes and raise expectations for all people with disabilities, their families, their communities, and the nation.",Website,https://www.ed.gov/about/ed-offices/osers,School Supports,"{, P, r, o, g, r, a, m, s, ,, D, i, s, a, b, i, l, i, t, y, ,, C, a, r, e, g, i, v, i, n, g, }",For families who are facing challenges with someone with a disability. ,,U.S. Department of Education,,0.2648
Find a family therapist,,Alcohol Use Disorder | Standard of Care,"An article describing the standard of care treatment for Alcohol Use Disorder, which includes recommended treatment for varying levels of severity of Alcohol Use Disorder.",Article,https://www.ncbi.nlm.nih.gov/books/NBK561234/,Treatment,"{, "", A, l, c, o, h, o, l,  , U, s, e,  , D, i, s, o, r, d, e, r, "", ,, "", S, u, b, s, t, a, n, c, e,  , A, b, u, s, e, "", ,, T, r, e, a, t, m, e, n, t, }",For parents of young adults with alcohol use disorder looking to better understand treatment options,,,,0.2646
Find a family therapist,,Brighter Heights Maine | Residential Housing,Providing homes that support adults living with developmental disabilities and qualify for housing through MaineCare Section 21 waiver. Locations in Westbrook and Winthrop.,Program,https://www.bh-maine.com/program/residential-housing/,Social Services,"{, H, o, u, s, i, n, g, ,, T, r, a, n, s, i, t, i, o, n, s, }",For parents near Westbrook and Winthrop in Maine who are looking for residential care for their children with developmental disabilities.,,,,0.2638
Find a family therapist,,Healthy Lincoln County,"Nonprofit organization serving Lincoln County with a mission to build healthy, thriving communities. They offer Substance Use Prevention services, nutrition education, and meals programs.",Organization,https://www.healthylincolncounty.org/,Social Services,"{, "", S, u, b, s, t, a, n, c, e,  , A, b, u, s, e, "", ,, "", N, u, t, r, i, t, i, o, n,  , E, d, u, c, a, t, i, o, n, "", ,, "", F, o, o, d,  , A, s, s, i, s, t, a, n, c, e, "", }",Parents have children in Maine's Lincoln County and are looking for healthcare or social support services,,,,0.2636
Find a family therapist,,Training: Katie Beckett Waiver,Pre-recorded 33-minute video about the Katie Beckett Waiver and how to apply.,Video,https://www.mpf.org/katie-beckett-medical-waiver/,Insurance,"{, }","When parents are from Maine and their income is a barrier to Medicaid eligibility for the family, but their child has a qualifying disability",,Maine Parent Federation,,0.2634
Find a family therapist,,Maine Parent Federation,"Organization sponsored by the federal Department of Education Office of Special Education Services to provide information and resources to parents of children with disabilities recognized under the Individuals with Disabilities Education Act (i.e., IDEA) and/or the Rehabilitation Act Section 504. Specializing in disabilities commonly recognized as qualifying for special education or '504 Plan' Accommodations and other state services.",Organization,https://www.mpf.org/,Social Services,"{, }","When parents are from Maine and their child has an IEP or 504 Plan, or they are considering or should consider requesting one",,,,0.2627
Find a family therapist,,How to Handle Disagreements at IEP Meetings (or Playing 20 Questions with the Devil),"Tactics for making parent requests, assessing progress, and making adjustments in the IEP process.",Article,https://www.wrightslaw.com/advoc/guest/Kerr_Meetings_Progess.htm,School Supports,"{, "", I, E, P,  , s, t, r, a, t, e, g, i, e, s, "", ,, "", I, E, P,  , p, r, o, c, e, s, s, "", ,, I, E, P, ,, P, a, r, e, n, t, i, n, g, ,, C, a, r, e, g, i, v, i, n, g, }","Parents need guidance on how to be firm about requests, progress monitoring, and making adjustments to their child's IEP.",,,,0.2611
Find a family therapist,,5 Reasons Parents Play a Key Role in the IEP Process,A quick and reassuring read about why parents belong in the room with at least equal standing at IEP meetings. ,Article,https://www.understood.org/en/articles/playing-a-role-in-the-iep-process,School Supports,"{, P, a, r, e, n, t, i, n, g, ,, I, E, P, }",Parents are unsure of or not confident about their role in the IEP process for their child(ren).,,,,0.259
Find a family therapist,,Shine Advocacy,Collective of educational advocates serving families in AZ,Organization,https://shineadvocacy.com/meet-our-team/,School Supports,"{, e, d, u, c, a, t, i, o, n, ,, I, E, P, ,, a, d, v, o, c, a, c, y, }",Parents are in Arizona and have an IEP for their child/children in Arizona schools,Arizona,Shine Advocacy,,0.2586
Find a family therapist,,Training: Maine DHHS & DOE School-Based Services Guidance,Approximately 1-hr video on School-Based special education services with Q&A featuring leaders from MaineCare and the Maine Department of Education.,Video,https://www.mpf.org/dhhs-mdoe-school-based-guidance/,School Supports,"{, }","When parents are from Maine and their child has an IEP, or they are considering or should consider requesting one",,Maine Parent Federation,,0.2461
Find a family therapist,,"How to Use a ""Parent IEP Attachment""","A useful tactic for recording parent IEP requests, the school's response, and outcomes. ",Article,https://www.wrightslaw.com/advoc/tips/Judy_IEP_Attachment.html,School Supports,"{, I, E, P, ,, "", I, E, P,  , s, t, r, a, t, e, g, i, e, s, "", ,, p, a, r, e, n, t, i, n, g, ,, c, a, r, e, g, i, v, i, n, g, }",When parents want to make requests for their child's IEP or when they have made requests and are frustrated with the results.,,,,0.2446
Find a family therapist,,Developmental Milestones,Learn more about milestones throughout child development from 2 months to 5 years provided by the CDC.,Website,https://www.cdc.gov/act-early/milestones/?CDC_AAref_Val=https://www.cdc.gov/ncbddd/actearly/milestones/index.html,Neurodiversity,"{, P, a, r, e, n, t, i, n, g, ,, D, e, v, e, l, o, p, m, e, n, t, }",For parents wondering what milestones they should be looking for throughout their child's development. ,,CDC,,0.2428
Find a family therapist,,Overview of Neurodevelopmental Disorders,Neurodevelopmental disorders refers to a group of disorders that begin in childhood. They affect the development and function of the brain. They may impact a child's interactions or functioning at home or school or in the community.  This article defines what a neurodevelopmental disorder is and the different types.,Article,https://www.psychiatry.org/patients-families/neurodevelopment-disorders,Neurodiversity,"{, "", N, e, u, r, o, d, e, v, e, l, o, p, m, e, n, t, a, l,  , D, i, s, o, r, d, e, r, s, "", ,, A, u, t, i, s, m, ,, A, D, H, D, ,, S, e, l, f, -, e, d, u, c, a, t, i, o, n, }",For parents of children with neurodevelopmental disorders who are working on better understanding their child's diagnosis better,,,,0.2413
Find a family therapist,,Is Your Child Making Progress in Special Ed?,A brief article about progress monitoring and requesting adjustments when needed.,Article,https://www.wrightslaw.com/blog/is-your-child-making-progress-in-special-ed/,School Supports,"{, I, E, P, ,, C, a, r, e, g, i, v, i, n, g, }",Parents are unsure of or not confident about timely progress from their child's IEP.,,,,0.2372
Find a family therapist,,A Guide To Finding Insurance at 26‌,"Kaiser Family Foundation report on the health insurance ""cliff"" at age 26 and tips about shopping for an insurance plan based on the advice of policy experts.",Article,https://kffhealthnews.org/news/article/guide-find-insurance-at-age-26/?utm_campaign=KHN%20-%20Weekly%20Edition&utm_medium=email&_hsenc=p2ANqtz-8kFy927NYN3nhw7w5QyLqCbSswOkSdAEtE-drALlZYfLybZl68bAV6D5SsX5LNK0ybXi1hVQ2HRykoyQ6_656GniTlFg&_hsmi=376099477&utm_content=376099477&utm_source=hs_email,Insurance,"{, I, n, s, u, r, a, n, c, e, }",Those who need help finding the right insurance plan for them and don't know where to start. ,,KFF Health News,,0.2345
Find a family therapist,,Office of Special Education Programs,"Programs improving results for infants, toddlers, children and youth with disabilities ages birth through 21 by providing leadership and financial support to assist states and local districts.",Website,https://www.ed.gov/about/ed-offices/osers/osep,School Supports,"{, "", S, p, e, c, i, a, l,  , E, d, u, c, a, t, i, o, n, "", ,, P, r, o, g, r, a, m, s, ,, C, a, r, e, g, i, v, i, n, g, }",For parents looking for programs to help support children with disability. ,,U.S. Department of Education,,0.2324
Find a family therapist,,"MaineCare Enrollment, Katie Beckett Waiver Option",State website describing the Katie Beckett Waiver and eligibility with a practical 'roadmap' to follow for applying.,Website,https://www.maine.gov/dhhs/ocfs/support-for-families/childrens-behavioral-health/katie-beckett-option,Insurance,"{, }","When parents are from Maine and their income is a barrier to Medicaid eligibility for the family, but their child has a qualifying disability",,Maine Department of Health & Human Services,,0.2307
Find a family therapist,,Special Education & Advocacy,Up-to-date information about special education law and advocacy for children with disabilities.,Website,https://www.wrightslaw.com,School Supports,"{, L, a, w, s, ,, D, i, s, a, b, i, l, i, t, y, }",Parents want information about the most recent acts in special education law and learn about advocacy. ,,Wrightslaw,,0.225
Find a family therapist,,Penquis Community Action Program,"Nonprofit organization serving Penobscot, Piscataquis, and Knox Counties with a mission to prevent, reduce, or eliminate poverty. Offering programs and initiatives that serve this mission by helping individuals and families with basic needs such as child care, parent coaching, and resource-finding for healthcare, disability care, ageing, and social services.",Organization,https://www.penquis.org/who-we-are/,Social Services,"{, }","Parents are in Maine's Penobscot, Piscataquis, or Knox Counties and are looking for social supports and services for themselves or their children",,,,0.2218
Find a family therapist,,What is a 504 Plan?,Helpful text description and 4-minute video about what a 504 plan is and how it is implemented to help your child learn at school.,Article,https://www.understood.org/en/articles/what-is-a-504-plan,School Supports,"{, A, D, H, D, ,, "", 5, 0, 4,  , p, l, a, n, "", ,, A, c, c, o, m, o, d, a, t, i, o, n, s, }",Parents have a child with ADHD or learning disability and wish to optimize their child's school environment,,Understood.org,,0.2204
Find a family therapist,,Training: Transition to Kindergarten,A 45-minute video about what to expect and how to proactively parent when your child is undergoing one of their major developmental milestones - the transition from preschool years to kindergarten!,Video,https://www.mpf.org/transition-to-kindergarten/,Transitions,"{, }",Child is between 3 and 6 years old,,Maine Parent Federation,,0.2196
Find a family therapist,,Rural Mental Health Care in the U.S. ,The history of rural mental health care in the U.S. from 2006-2022. Provides an overview of the field and an annotated bibliography. ,Article,https://www.wiche.edu/wp-content/uploads/2024/05/WCE_RuralMentalHealth_050824_FullDoc.pdf,Mental Health,"{, "", M, e, n, t, a, l,  , H, e, a, l, t, h, "", ,, "", S, u, b, s, t, a, n, c, e,  , U, s, e, "", }","Wanting to learn about rural mental health and the development of researching, policymaking, and service providing. ",,WICHE,,0.2187
Find a family therapist,,"Doing Your Homework: Your Child's IEP, Your State's Standards and Progress in the General Education Curriculum",What parents should know and lean on when assessing their child's baseline performance and IEP progress goals.,Article,https://www.wrightslaw.com/heath/progress.curriculum.htm,School Supports,"{, I, E, P, ,, "", I, E, P,  , p, r, o, g, r, e, s, s, "", ,, C, a, r, e, g, i, v, i, n, g, ,, "", I, E, P,  , g, o, a, l, s, "", }","Parents are unsure of or not confident about their role in the IEP process for their child(ren), or when parents need information about how IEP assessments and goals should be established.",,,,0.217
Find a family therapist,,Education is Special ,A 55-minute video about the special education process and system in Maine,Video,https://www.mpf.org/education-is-special-a-guide-to-special-education-in-maine/,School Supports,"{, }","When parents are from Maine and their child has an IEP, or they are considering or should consider applying for special education for their child",,Maine Parent Federation,,0.2169
Find a family therapist,,IDEA ,Directory of IDEA (Individuals with Disabilities Education Act) topics.,Website,https://search.usa.gov/search?utf8=✓&affiliate=ncd-gov&query=IDEA,School Supports,"{, D, i, r, e, c, t, o, r, i, e, s, ,, S, e, l, f, -, E, d, u, c, a, t, i, o, n, ,, D, i, s, a, b, i, l, i, t, y, }",Parents want to learn more about IDEA topics and federal monitoring. ,,National Council on Disability ,,0.215
Find a family therapist,,Rural Mental Health,Learning about the struggles and challenges of mental health in rural communities and frequently asked questions about mental health resources in these areas. ,Website,https://www.ruralhealthinfo.org/topics/mental-health,Mental Health,"{, S, u, i, c, i, d, e, ,, S, t, a, t, i, s, t, i, c, s, }",Those facing mental health struggles who live in rural areas. ,,Rural Health Information Hub,,0.2144
Find a family therapist,,American Society of Addiction Medicine (ASAM) Care Levels,"Comprehensive set of standards for placement, continued service, and transfer of patients with addiction and co-occurring conditions.",Website,https://www.asam.org/asam-criteria/about-the-asam-criteria,Substance Abuse,"{, A, d, d, i, c, t, i, o, n, }",Those who want to learn about addiction and standards for placement and care of patients. ,,American Society of Addiction Medicine ,,0.2085
Find a family therapist,,Due Process Case Outcomes,Hearings of alleged violations of the IDEA requirements with case decisions. ,Tool,https://www.maine.gov/doe/learning/specialed/dueprocess/decisions,School Supports,"{, S, e, l, f, -, E, d, u, c, a, t, i, o, n, }",Those who want to learn about violations of IDEA and what to look out for. ,Maine,Maine Department of Education,,0.2036
Find a family therapist,,What is Neurodiversity? | Harvard Medical,"An article describing Neurodiversity, which describes the idea that people experience and interact with the world around them in many different ways; there is no one ""right"" way of thinking, learning, and behaving, and differences are not viewed as deficits.",Article,https://www.health.harvard.edu/blog/what-is-neurodiversity-202111232645,Neurodiversity,"{, N, e, u, r, o, d, i, v, e, r, s, i, t, y, ,, N, e, u, r, o, d, e, v, e, l, o, p, m, e, n, t, a, l, }",For parents who are new to the term neurodiversity or have a child that is neurodiverse but is struggling to understand what that means,,,,0.2028
Find a family therapist,,Kennebec Valley Community Action Program (KVCAP),"Nonprofit organization serving Kennebec, Lincoln, Sagadahoc, and Somerset Counties with a mission to prevent, reduce, or end poverty. Helps families find community-based services for living.",Organization,https://www.kvcap.org/,Social Services,"{, }","Parents have children in Maine's Kennebec, Lincoln, Sagadahoc, or Somerset Counties and are looking for support services",,,,0.202
Find a family therapist,,Video | What is Neurodiversity?,"A simple explainer video that describes Neurodiversity. People experience and interact with the world around them in many different ways; there is no one ""right"" way of thinking, learning, and behaving, and differences are not viewed as deficits.",Video,https://www.youtube.com/watch?v=xsfml3yVh1g&t=3s,Neurodiversity,"{, N, e, u, r, o, d, i, v, e, r, s, i, t, y, ,, N, e, u, r, o, d, e, v, e, l, o, p, m, e, n, t, a, l, }",For parents who are new to the term neurodiversity or have a child that is neurodiverse but is struggling to understand what that means,,,,0.1946
