test_case,resource_id,resource_title,resource_description,resource_type,resource_source,resource_category,resource_topics,resource_recommend_if,resource_state,resource_organization,resource_default_navigator_note,similarity_score
Find a family therapist,,,,,,,,,,,,0.2413
Find a family therapist,,,,,,,,,,,,0.2373
Find a family therapist,,,,,,,,,,,,0.2345
Find a family therapist,,,,,,,,,,,,0.2325
Find a family therapist,,,,,,,,,,,,0.2307
Find a family therapist,,,,,,,,,,,,0.2251
Find a family therapist,,,,,,,,,,,,0.2219
Find a family therapist,,,,,,,,,,,,0.2205
Find a family therapist,,,,,,,,,,,,0.2196
Find a family therapist,,,,,,,,,,,,0.2187
Find a family therapist,,,,,,,,,,,,0.217
Find a family therapist,,,,,,,,,,,,0.217
Find a family therapist,,,,,,,,,,,,0.215
Find a family therapist,,,,,,,,,,,,0.2145
Find a family therapist,,,,,,,,,,,,0.2084
Find a family therapist,,,,,,,,,,,,0.2036
Find a family therapist,,,,,,,,,,,,0.2028
Find a family therapist,,,,,,,,,,,,0.2021
Find a family therapist,,,,,,,,,,,,0.1946
Find a family therapist,,,,,,,,,,,,0.1811
Find a family therapist,,,,,,,,,,,,0.1646
Find a family therapist,,,,,,,,,,,,0.164
Find a family therapist,,,,,,,,,,,,0.1619
Find a family therapist,,,,,,,,,,,,0.1458
Find a parent support group,,,,,,,,,,,,0.6028
Find a parent support group,,,,,,,,,,,,0.5311
Find a parent support group,,,,,,,,,,,,0.4435
Find a parent support group,,,,,,,,,,,,0.4291
Find a parent support group,,,,,,,,,,,,0.4258
Find a parent support group,,,,,,,,,,,,0.4246
Find a parent support group,,,,,,,,,,,,0.4243
Find a parent support group,,,,,,,,,,,,0.4013
Find a parent support group,,,,,,,,,,,,0.3903
Find a parent support group,,,,,,,,,,,,0.3776
Find a parent support group,,,,,,,,,,,,0.3757
Find a parent support group,,,,,,,,,,,,0.3744
Find a parent support group,,,,,,,,,,,,0.3732
Find a parent support group,,,,,,,,,,,,0.3723
Find a parent support group,,,,,,,,,,,,0.3649
Find a parent support group,,,,,,,,,,,,0.3635
Find a parent support group,,,,,,,,,,,,0.3627
Find a parent support group,,,,,,,,,,,,0.3622
Find a parent support group,,,,,,,,,,,,0.3504
Find a parent support group,,,,,,,,,,,,0.3484
Find a parent support group,,,,,,,,,,,,0.3402
Find a parent support group,,,,,,,,,,,,0.3399
Find a parent support group,,,,,,,,,,,,0.3393
Find a parent support group,,,,,,,,,,,,0.336
Find a parent support group,,,,,,,,,,,,0.335
Find a parent support group,,,,,,,,,,,,0.3349
Find a parent support group,,,,,,,,,,,,0.3318
Find a parent support group,,,,,,,,,,,,0.3285
Find a parent support group,,,,,,,,,,,,0.3261
Find a parent support group,,,,,,,,,,,,0.3236
Find a parent support group,,,,,,,,,,,,0.3221
Find a parent support group,,,,,,,,,,,,0.3186
Find a parent support group,,,,,,,,,,,,0.3179
Find a parent support group,,,,,,,,,,,,0.3156
Find a parent support group,,,,,,,,,,,,0.3113
Find a parent support group,,,,,,,,,,,,0.3112
Find a parent support group,,,,,,,,,,,,0.3074
Find a parent support group,,,,,,,,,,,,0.3011
Find a parent support group,,,,,,,,,,,,0.2998
Find a parent support group,,,,,,,,,,,,0.2968
Find a parent support group,,,,,,,,,,,,0.2959
Find a parent support group,,,,,,,,,,,,0.2937
Find a parent support group,,,,,,,,,,,,0.2895
Find a parent support group,,,,,,,,,,,,0.289
Find a parent support group,,,,,,,,,,,,0.2882
Find a parent support group,,,,,,,,,,,,0.2875
Find a parent support group,,,,,,,,,,,,0.2858
Find a parent support group,,,,,,,,,,,,0.2845
Find a parent support group,,,,,,,,,,,,0.2845
Find a parent support group,,,,,,,,,,,,0.282
Find a parent support group,,,,,,,,,,,,0.2736
Find a parent support group,,,,,,,,,,,,0.2727
Find a parent support group,,,,,,,,,,,,0.2707
Find a parent support group,,,,,,,,,,,,0.2692
Find a parent support group,,,,,,,,,,,,0.2688
Find a parent support group,,,,,,,,,,,,0.2681
Find a parent support group,,,,,,,,,,,,0.2634
Find a parent support group,,,,,,,,,,,,0.2535
Find a parent support group,,,,,,,,,,,,0.2478
Find a parent support group,,,,,,,,,,,,0.2438
Find a parent support group,,,,,,,,,,,,0.2373
Find a parent support group,,,,,,,,,,,,0.2262
Find a parent support group,,,,,,,,,,,,0.225
Find a parent support group,,,,,,,,,,,,0.2165
Find a parent support group,,,,,,,,,,,,0.2144
Find a parent support group,,,,,,,,,,,,0.206
Find a parent support group,,,,,,,,,,,,0.2058
Find a parent support group,,,,,,,,,,,,0.1653
Get an IEP from school,,,,,,,,,,,,0.5981
Get an IEP from school,,,,,,,,,,,,0.5797
Get an IEP from school,,,,,,,,,,,,0.5691
Get an IEP from school,,,,,,,,,,,,0.5559
Get an IEP from school,,,,,,,,,,,,0.5453
Get an IEP from school,,,,,,,,,,,,0.5352
Get an IEP from school,,,,,,,,,,,,0.4656
Get an IEP from school,,,,,,,,,,,,0.4541
Get an IEP from school,,,,,,,,,,,,0.4514
Get an IEP from school,,,,,,,,,,,,0.4417
Get an IEP from school,,,,,,,,,,,,0.4396
Get an IEP from school,,,,,,,,,,,,0.4298
Get an IEP from school,,,,,,,,,,,,0.4191
Get an IEP from school,,,,,,,,,,,,0.3877
Get an IEP from school,,,,,,,,,,,,0.3791
Get an IEP from school,,,,,,,,,,,,0.3703
Get an IEP from school,,,,,,,,,,,,0.3699
Get an IEP from school,,,,,,,,,,,,0.3439
Get an IEP from school,,,,,,,,,,,,0.3433
Get an IEP from school,,,,,,,,,,,,0.3087
Get an IEP from school,,,,,,,,,,,,0.2995
Get an IEP from school,,,,,,,,,,,,0.2771
Get an IEP from school,,,,,,,,,,,,0.2707
Get an IEP from school,,,,,,,,,,,,0.2577
Get an IEP from school,,,,,,,,,,,,0.2556
Get an IEP from school,,,,,,,,,,,,0.2522
Get an IEP from school,,,,,,,,,,,,0.251
Get an IEP from school,,,,,,,,,,,,0.2428
Get an IEP from school,,,,,,,,,,,,0.2347
Get an IEP from school,,,,,,,,,,,,0.2213
Get an IEP from school,,,,,,,,,,,,0.217
Get an IEP from school,,,,,,,,,,,,0.2124
Get an IEP from school,,,,,,,,,,,,0.2081
Get an IEP from school,,,,,,,,,,,,0.2077
Get an IEP from school,,,,,,,,,,,,0.206
Get an IEP from school,,,,,,,,,,,,0.2027
Get an IEP from school,,,,,,,,,,,,0.2004
Get an IEP from school,,,,,,,,,,,,0.1988
Get an IEP from school,,,,,,,,,,,,0.1965
Get an IEP from school,,,,,,,,,,,,0.1933
Get an IEP from school,,,,,,,,,,,,0.1925
Get an IEP from school,,,,,,,,,,,,0.1876
Get an IEP from school,,,,,,,,,,,,0.1826
Get an IEP from school,,,,,,,,,,,,0.181
Get an IEP from school,,,,,,,,,,,,0.181
Get an IEP from school,,,,,,,,,,,,0.1805
Get an IEP from school,,,,,,,,,,,,0.1793
Get an IEP from school,,,,,,,,,,,,0.1785
Get an IEP from school,,,,,,,,,,,,0.1759
Get an IEP from school,,,,,,,,,,,,0.1744
Get an IEP from school,,,,,,,,,,,,0.172
Get an IEP from school,,,,,,,,,,,,0.1706
Get an IEP from school,,,,,,,,,,,,0.1648
Get an IEP from school,,,,,,,,,,,,0.1586
Get an IEP from school,,,,,,,,,,,,0.1562
Get an IEP from school,,,,,,,,,,,,0.1561
Get an IEP from school,,,,,,,,,,,,0.1558
Get an IEP from school,,,,,,,,,,,,0.1529
Get an IEP from school,,,,,,,,,,,,0.1517
Get an IEP from school,,,,,,,,,,,,0.1501
Get an IEP from school,,,,,,,,,,,,0.1416
Get an IEP from school,,,,,,,,,,,,0.1365
Get an IEP from school,,,,,,,,,,,,0.1357
Get an IEP from school,,,,,,,,,,,,0.1272
Get an IEP from school,,,,,,,,,,,,0.1267
Get an IEP from school,,,,,,,,,,,,0.1242
Get an IEP from school,,,,,,,,,,,,0.1221
Get an IEP from school,,,,,,,,,,,,0.0725
